"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 14 22:01:09 CST 2020","Tue Jul 14 22:01:09 CST 2020","1","test","test_run_step","TestPytest2","","","test_two",""
"passed","Tue Jul 14 22:01:09 CST 2020","Tue Jul 14 22:01:09 CST 2020","1","test","test_fixture","","","","test_case1",""
"passed","Tue Jul 14 22:01:09 CST 2020","Tue Jul 14 22:01:09 CST 2020","0","testcase","test_calc","TestCalc","","","test_div[div_case2]",""
"passed","Tue Jul 14 22:01:09 CST 2020","Tue Jul 14 22:01:09 CST 2020","1","test","test_fixture_scope","","","","test_search2",""
"passed","Tue Jul 14 22:01:09 CST 2020","Tue Jul 14 22:01:09 CST 2020","0","testcase","test_calc","TestCalc","","","test_sub[sub_case2]",""
"passed","Tue Jul 14 22:01:09 CST 2020","Tue Jul 14 22:01:09 CST 2020","1","test.test_scope","test_scope1","","","","test_search3",""
"passed","Tue Jul 14 22:01:09 CST 2020","Tue Jul 14 22:01:09 CST 2020","0","test","test_param","","","","test_login[Tome]",""
"passed","Tue Jul 14 22:01:09 CST 2020","Tue Jul 14 22:01:09 CST 2020","0","test.test_scope","test_scope2","TestFunc","","","test_case2",""
"passed","Tue Jul 14 22:01:09 CST 2020","Tue Jul 14 22:01:09 CST 2020","0","test","test_order","TestPytest","","","test_two",""
"passed","Tue Jul 14 22:01:09 CST 2020","Tue Jul 14 22:01:09 CST 2020","0","testcase","test_calc","TestCalc","","","test_add[add_case5]",""
"passed","Tue Jul 14 22:01:09 CST 2020","Tue Jul 14 22:01:09 CST 2020","0","testcase","test_calc","TestCalc","","","test_mul[mul_case3]",""
"passed","Tue Jul 14 22:01:09 CST 2020","Tue Jul 14 22:01:09 CST 2020","0","test","test_fixture","","","","test_case2",""
"failed","Tue Jul 14 22:01:09 CST 2020","Tue Jul 14 22:01:09 CST 2020","0","test","test_add","TestClass","","","test_two",""
"passed","Tue Jul 14 22:01:09 CST 2020","Tue Jul 14 22:01:09 CST 2020","0","test","test_run_step","TestPytest1","","","test_three",""
"passed","Tue Jul 14 22:01:09 CST 2020","Tue Jul 14 22:01:09 CST 2020","0","test","test_param_indirect","","","","test_login[Tome]",""
"passed","Tue Jul 14 22:01:09 CST 2020","Tue Jul 14 22:01:09 CST 2020","0","test","test_fixture_scope","","","","test_search3",""
"passed","Tue Jul 14 22:01:09 CST 2020","Tue Jul 14 22:01:09 CST 2020","1","test","test_param","","","","test_login[Jerry]",""
"passed","Tue Jul 14 22:01:09 CST 2020","Tue Jul 14 22:01:09 CST 2020","0","testcase","test_calc","TestCalc","","","test_sub[sub_case4]",""
"passed","Tue Jul 14 22:01:09 CST 2020","Tue Jul 14 22:01:09 CST 2020","0","testcase","test_calc","TestCalc","","","test_mul[mul_case1]",""
"passed","Tue Jul 14 22:01:09 CST 2020","Tue Jul 14 22:01:09 CST 2020","0","test","test_fixture","","","","test_case3",""
"passed","Tue Jul 14 22:01:09 CST 2020","Tue Jul 14 22:01:09 CST 2020","0","testcase","test_calc","TestCalc","","","test_div[div_case5]",""
"broken","Tue Jul 14 22:01:09 CST 2020","Tue Jul 14 22:01:09 CST 2020","0","test","test_fixture_scope","","","","test_search1",""
"passed","Tue Jul 14 22:01:09 CST 2020","Tue Jul 14 22:01:09 CST 2020","0","testcase","test_calc","TestCalc","","","test_sub[sub_case3]",""
"passed","Tue Jul 14 22:01:09 CST 2020","Tue Jul 14 22:01:09 CST 2020","0","testcase","test_calc","TestCalc","","","test_mul[mul_case4]",""
"passed","Tue Jul 14 22:01:09 CST 2020","Tue Jul 14 22:01:09 CST 2020","0","test","test_add","","","","test_add",""
"passed","Tue Jul 14 22:01:09 CST 2020","Tue Jul 14 22:01:09 CST 2020","0","testcase","test_calc","TestCalc","","","test_add[add_case4]",""
"passed","Tue Jul 14 22:01:09 CST 2020","Tue Jul 14 22:01:09 CST 2020","0","testcase","test_calc","TestCalc","","","test_sub[sub_case1]",""
"passed","Tue Jul 14 22:01:09 CST 2020","Tue Jul 14 22:01:09 CST 2020","0","test","test_autouse","TestAutoUse","","","test_two",""
"passed","Tue Jul 14 22:01:09 CST 2020","Tue Jul 14 22:01:09 CST 2020","0","testcase","test_calc","TestCalc","","","test_div[div_case6]",""
"passed","Tue Jul 14 22:01:09 CST 2020","Tue Jul 14 22:01:09 CST 2020","0","test.test_scope","test_scope2","TestFunc","","","test_case1",""
"passed","Tue Jul 14 22:01:09 CST 2020","Tue Jul 14 22:01:09 CST 2020","0","test","test_add","TestClass","","","test_one",""
"passed","Tue Jul 14 22:01:09 CST 2020","Tue Jul 14 22:01:09 CST 2020","1","test","test_autouse","TestAutoUse","","","test_one",""
"passed","Tue Jul 14 22:01:09 CST 2020","Tue Jul 14 22:01:09 CST 2020","0","testcase","test_calc","TestCalc","","","test_div[div_case1]",""
"passed","Tue Jul 14 22:01:09 CST 2020","Tue Jul 14 22:01:09 CST 2020","0","test","test_autouse","TestAutoUse","","","test_three",""
"passed","Tue Jul 14 22:01:09 CST 2020","Tue Jul 14 22:01:09 CST 2020","0","test","test_order","TestPytest","","","test_one",""
"passed","Tue Jul 14 22:01:09 CST 2020","Tue Jul 14 22:01:09 CST 2020","0","testcase","test_calc","TestCalc","","","test_div[div_case4]",""
"passed","Tue Jul 14 22:01:09 CST 2020","Tue Jul 14 22:01:09 CST 2020","1","test","test_order","TestPytest","","","test_three",""
"passed","Tue Jul 14 22:01:09 CST 2020","Tue Jul 14 22:01:09 CST 2020","0","testcase","test_calc","TestCalc","","","test_add[add_case1]",""
"passed","Tue Jul 14 22:01:09 CST 2020","Tue Jul 14 22:01:09 CST 2020","0","test.testdata","test_yaml","","","","test_foo[20-30]",""
"passed","Tue Jul 14 22:01:09 CST 2020","Tue Jul 14 22:01:09 CST 2020","0","test.test_scope","test_scope2","TestFunc","","","test_case3",""
"passed","Tue Jul 14 22:01:09 CST 2020","Tue Jul 14 22:01:09 CST 2020","0","test.test_scope","test_scope1","","","","test_search2",""
"passed","Tue Jul 14 22:01:09 CST 2020","Tue Jul 14 22:01:09 CST 2020","0","test","test_run_step","TestPytest2","","","test_one",""
"passed","Tue Jul 14 22:01:09 CST 2020","Tue Jul 14 22:01:09 CST 2020","1","test.test_scope","test_scope1","","","","test_search1",""
"passed","Tue Jul 14 22:01:09 CST 2020","Tue Jul 14 22:01:09 CST 2020","0","testcase","test_calc","TestCalc","","","test_mul[mul_case2]",""
"passed","Tue Jul 14 22:01:09 CST 2020","Tue Jul 14 22:01:09 CST 2020","0","test","test_run_step","TestPytest1","","","test_four",""
"passed","Tue Jul 14 22:01:09 CST 2020","Tue Jul 14 22:01:09 CST 2020","1","testcase","test_calc","TestCalc","","","test_mul[mul_case5]",""
"passed","Tue Jul 14 22:01:09 CST 2020","Tue Jul 14 22:01:09 CST 2020","0","testcase","test_calc","TestCalc","","","test_div[div_case3]",""
"passed","Tue Jul 14 22:01:09 CST 2020","Tue Jul 14 22:01:09 CST 2020","0","testcase","test_calc","TestCalc","","","test_add[add_case2]",""
"passed","Tue Jul 14 22:01:09 CST 2020","Tue Jul 14 22:01:09 CST 2020","0","test","test_param_indirect","","","","test_login[Jerry]",""
"passed","Tue Jul 14 22:01:09 CST 2020","Tue Jul 14 22:01:09 CST 2020","0","testcase","test_calc","TestCalc","","","test_sub[sub_case5]",""
"passed","Tue Jul 14 22:01:09 CST 2020","Tue Jul 14 22:01:09 CST 2020","0","test.testdata","test_yaml","","","","test_foo[1-2]",""
"passed","Tue Jul 14 22:01:09 CST 2020","Tue Jul 14 22:01:09 CST 2020","0","testcase","test_calc","TestCalc","","","test_add[add_case3]",""
